id,org_name,grants_url,status,http_code,redirect_url,error
8,UNICEF,https://www.unicef.org/partnerships,BLOCKED (likely WAF),403,https://www.unicef.org/partnerships,
5,UNEP - UN Environment Programme,https://www.unep.org/funding-and-grants,BLOCKED (likely WAF),403,https://www.unep.org/funding-and-grants,
9,UN Women,https://www.unwomen.org/en/partnerships/civil-society,OK,200,https://www.unwomen.org/en/partnerships/civil-society,
1,UNDP - UN Development Programme,https://www.undp.org/funding,BLOCKED (likely WAF),403,https://www.undp.org/funding,
12,UN-Habitat,https://unhabitat.org/partners-and-donors,NOT_FOUND,404,https://unhabitat.org/partners-and-donors,
11,UNIDO - UN Industrial Development Organization,https://www.unido.org/overview-funding-unido,BLOCKED (likely WAF),403,https://www.unido.org/overview-funding-unido,
13,UNFPA - UN Population Fund,https://www.unfpa.org/funding,NOT_FOUND,404,https://www.unfpa.org/funding,
15,UNCTAD,https://unctad.org/funding,BLOCKED (likely WAF),403,https://unctad.org/funding,
7,FAO - Food and Agriculture Organization,https://www.fao.org/partnerships/resource-mobilization/en/,NOT_FOUND,404,https://www.fao.org/partnerships/resource-mobilization/en/,
3,ITU - International Telecommunication Union,https://www.itu.int/en/ITU-D/Pages/Funding.aspx,NOT_FOUND,404,https://www.itu.int/en/ITU-D/Pages/Funding.aspx,
10,ILO - International Labour Organization,https://www.ilo.org/global/about-the-ilo/funding/WCMS_166660/lang--en/index.htm,NOT_FOUND,404,https://www.ilo.org/global/about-the-ilo/funding/WCMS_166660/lang--en/index.htm,
2,UNESCO,https://www.unesco.org/en/funding-opportunities,NOT_FOUND,404,https://www.unesco.org/en/funding-opportunities,
19,Asian Development Bank,https://www.adb.org/work-with-us/funds/financing-partnership-facilities,NOT_FOUND,404,https://www.adb.org/work-with-us/funds/financing-partnership-facilities,
20,African Development Bank,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/fund-for-african-private-sector-assistance,BLOCKED (likely WAF),403,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/fund-for-african-private-sector-assistance,
6,WHO - World Health Organization,https://www.who.int/about/funding,OK,200,https://www.who.int/about/funding,
22,IDB Lab (formerly MIF),https://www.iadb.org/en/idblab,BLOCKED (likely WAF),403,https://www.iadb.org/en/idblab,
21,Inter-American Development Bank,https://iadb.org/en/how-we-are-funded/grants,BLOCKED (likely WAF),403,https://www.iadb.org/en/how-we-are-funded/grants,
25,World Bank,https://www.worldbank.org/en/programs/grants,NOT_FOUND,404,https://www.worldbank.org/en/programs/grants,
14,WFP - World Food Programme,https://www.wfp.org/funding,OK,200,https://www.wfp.org/funding,
26,Asian Infrastructure Investment Bank,https://www.aiib.org/en/about-aiib/who-we-are/partnership/index.html,OK,200,https://www.aiib.org/en/about-aiib/who-we-are/partnership/index.html,
